,0
200,340.10889559984207
201,618.2500075697899
202,148.54737979918718
203,293.4914017319679
204,152.44002836942673
205,477.72729700803757
206,532.0536736547947
207,577.0198628902435
208,66.80890368670225
209,514.3945616781712
210,424.38889706134796
211,497.80441150069237
212,439.405119150877
213,601.2448025718331
214,280.9853474199772
215,192.3383195400238
216,616.0210605859756
217,410.6164020895958
218,577.6840168833733
219,635.5951308459044
220,427.6049180626869
221,310.17643243074417
222,474.85022658109665
223,464.47607430815697
224,123.78013852238655
225,348.4546971321106
226,477.6234912276268
227,521.8035247325897
228,571.5686184763908
229,94.36830765008926
230,601.4837612211704
231,239.65651619434357
232,522.4053249955177
233,637.8973732888699
234,450.2152585685253
235,574.1557748317719
236,551.2056118920445
237,249.93673580884933
238,245.11961674690247
239,348.20093709230423
240,617.370020121336
241,597.4881545305252
242,193.80023169517517
243,588.2886161506176
244,399.3291169703007
245,539.9155400693417
246,421.2234636694193
247,437.7407450284809
248,574.249838590622
249,630.1325695365667
250,294.4976829737425
251,599.6192336380482
252,330.9194083213806
253,591.9025020003319
254,548.4161328971386
255,334.3127846121788
256,565.1235761940479
257,500.9638939201832
258,156.48415845632553
259,540.9433376081288
260,608.6000138670206
261,343.7713361084461
262,263.92149195075035
263,455.77055925130844
264,480.26485335826874
265,190.89405063539743
266,302.3379314765334
267,272.26557433605194
268,334.4049174785614
269,572.8596301674843
270,596.0824383795261
271,303.37433445453644
272,580.4602377489209
273,236.18076390028
274,327.4809086918831
275,547.6912423372269
276,596.7358222417533
277,383.272791787982
278,563.2154416441917
279,584.2506723999977
280,578.19908221066
281,162.47822415828705
282,215.66445726156235
283,351.76110599189997
284,434.4544358253479
285,576.3560320425313
286,368.7732932716608
287,252.77612736821175
288,535.9466502666473
289,587.5860507488251
290,174.39036005735397
291,577.6288371086121
292,398.4302663207054
293,330.1435016579926
294,282.32896107435226
295,249.27191692590714
296,389.74898348003626
297,290.6834652647376
298,606.59165802598
299,389.2323308587074
300,491.3109197318554
301,102.27986180782318
302,421.5955626964569
303,467.77751845121384
304,266.0832344889641
305,129.22213059663773
306,441.7644856572151
307,591.8144581317902
308,232.040691614151
309,305.26925083994865
310,512.2762550413609
311,183.8798514008522
312,602.324050784111
313,468.2542517185211
314,314.8002899736166
315,441.6105068922043
316,111.30163300037384
317,559.8558515310287
318,553.2739405333996
319,259.74542355537415
320,180.70995289087296
